# Final Capture Picture matrix before commit: flash Off/White/IR, both cameras, repeated captures, leave and re-enter. App feat/capture-keep-awake (tidied, uncommitted) on firmware ae_review e8b7feb5
# Started 2026-09-03 16:26:53. Times are MM:SS.mmm from the start of the capture.
# himax = COM6 @ 921600 (known adapter FTFAERNNA)
# nrf   = COM5 @ 115200 (known adapter FTH0BZPJA)
#
# The ten-step matrix: flash Off/White/White/IR on Black & White, switch to Colour, White and Off on Colour, leave, re-enter (hung: the transport's sleep pause), capture. Filtered to app writes and hook logs, slot replies, and the Himax wake, flash, light, capture, sleep, reset and transfer markers.
[00:06.747] himax | DEBUG: ledFlashSelectLED(1)
[00:06.747] himax | [LS] Timer wake for AE light check
[00:07.062] himax | Image capture 1/1 took 54ms
[00:07.062] himax | [LS] Skipping NN processing (AE light check).
[00:07.062] himax | [LS] AE light check: AGain = 1, conv=Y -> BRIGHT (change)
[00:07.062] himax | Sending 58 bytes: Header 4, payload 52, checksum 2 'AE light check: AGain = 1, conv=Y -> BRIGHT (change)'
[00:07.376] nrf   | BLE out: Failed to send  53 bytes: 'AE light check: AGain = 1, conv=Y -> BRIGHT (change)'
[00:07.376] nrf   | BLE out: Failed to send  50 bytes: 'Captured 1 images. Last is  (File write 0ms avg.)'
[00:07.376] himax | Sending 55 bytes: Header 4, payload 49, checksum 2 'Captured 1 images. Last is  (File write 0ms avg.)'
[00:07.376] himax | 000: 80 04 31 00 43 61 70 74  75 72 65 64 20 31 20 69 ..1.Captured 1 i
[00:10.473] himax | Inactive for 3000ms
[00:10.473] himax |  No LED flashes.
[00:10.473] himax | >>> Entering DPD at 2024:01:01 01:59:16
[00:35.242] app   | Device WILD-CNKW connected
[00:35.561] app   | Written AI setop 8 1000 to the device WILD-CNKW (16:27:29-669)
[00:35.974] himax | Wakeup_event = 0x0000, WakeupEvt1 = 0x0001 WAKE signal
[00:35.974] himax | DEBUG: ledFlashSelectLED(1)
[00:36.049] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Wake
[00:36.278] nrf   | <info> app: AI processor replies: 'Set OpParam 8 = 1000'
[00:36.278] nrf   | BLE out: Sent  21 bytes: 'Set OpParam 8 = 1000'
[00:36.278] himax | Set OpParam 8 = 1000
[00:36.278] himax | Sending 26 bytes: Header 4, payload 20, checksum 2 'Set OpParam 8 = 1000'
[00:36.278] himax | 000: 80 04 14 00 53 65 74 20  4f 70 50 61 72 61 6d 20 ....Set OpParam 
[00:36.280] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Set OpParam 8 = 1000
[00:36.379] app   | [KeepAwake] op8 on D6:47:9B:89:E7:23 restored to 1000 (reconnect)
[00:39.337] himax | Inactive for 3000ms
[00:39.337] himax |  No LED flashes.
[00:39.337] himax | >>> Entering DPD at 2024:01:01 01:59:46
[00:39.432] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Sleep
[01:37.463] app   | Written get heartbeat to the device WILD-CNKW (16:28:31-575)
[02:35.788] app   | Written get heartbeat to the device WILD-CNKW (16:29:29-896)
[03:34.076] app   | Written get heartbeat to the device WILD-CNKW (16:30:28-194)
[04:34.343] nrf   | <info> app: BLE Timeout: disconnecting
[04:34.461] app   | Peripheral disconnect event triggered. Disconnecting: D6:47:9B:89:E7:23
[06:01.857] app   | Device WILD-CNKW connected
[07:00.015] app   | Written get heartbeat to the device WILD-CNKW (16:33:54-121)
[07:10.307] app   | Written AI slots to the device WILD-CNKW (16:34:04-422)
[07:10.342] himax | Wakeup_event = 0x0000, WakeupEvt1 = 0x0001 WAKE signal
[07:10.656] himax | DEBUG: ledFlashSelectLED(1)
[07:10.813] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Wake
[07:10.969] himax | Active slot 0 running 'HM0360 (night/IR)'. Slot A: 'HM0360 (night/IR)', Slot B: 'RP3 (day/colour)'. Auto-switch: off
[07:10.969] himax | Sending 122 bytes: Header 4, payload 116, checksum 2 'Active slot 0 running 'HM0360 (night/IR)'. Slot A: 'HM0360 (night/IR)', Slot B: 'RP3 (day/colour)'. Auto-switch: off'
[07:10.969] himax | 000: 80 04 74 00 41 63 74 69  76 65 20 73 6c 6f 74 20 ..t.Active slot 
[07:10.969] nrf   | <info> app: AI processor replies: 'Active slot 0 running 'HM0360 (night/IR)'. Slot A: 'HM0360 (night/IR)', Slot B: 'RP3 (day/colour)'. Auto-switch: off'
[07:10.969] nrf   | BLE out: Sent 117 bytes: 'Active slot 0 running 'HM0360 (night/IR)'. Slot A: 'HM0360 (night/IR)', Slot B: 'RP3 (day/colour)'. Auto-switch: off'
[07:11.009] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Active slot 0 running 'HM0360 (night/IR)'. Slot A: 'HM0360 (night/IR)', Slot B: 'RP3 (day/colour)'. Auto-switch: off
[07:11.112] app   | Written AI getop -1 to the device WILD-CNKW (16:34:05-229)
[07:11.546] app   | Written AI getop -1 to the device WILD-CNKW (16:34:05-670)
[07:11.928] app   | Written selftest to the device WILD-CNKW (16:34:06-051)
[07:12.292] app   | Written AI getop -1 to the device WILD-CNKW (16:34:06-415)
[07:12.731] app   | Written AI getop -1 to the device WILD-CNKW (16:34:06-844)
[07:13.163] app   | Written AI setop 8 3000 to the device WILD-CNKW (16:34:07-280)
[07:13.442] himax | Set OpParam 8 = 3000
[07:13.442] himax | Sending 26 bytes: Header 4, payload 20, checksum 2 'Set OpParam 8 = 3000'
[07:13.442] himax | 000: 80 04 14 00 53 65 74 20  4f 70 50 61 72 61 6d 20 ....Set OpParam 
[07:13.542] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Set OpParam 8 = 3000
[07:13.741] app   | [KeepAwake] holding D6:47:9B:89:E7:23 awake: op8 1000 -> 3000
[07:13.755] nrf   | <info> app: AI processor replies: 'Set OpParam 8 = 3000'
[07:13.755] nrf   | BLE out: Sent  21 bytes: 'Set OpParam 8 = 3000'
[07:14.674] himax | Inactive for 1000ms
[07:14.674] himax |  No LED flashes.
[07:14.674] himax | >>> Entering DPD at 2024:01:01 02:06:35
[07:14.730] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Sleep
[07:19.304] app   | Written AI setop 13 0 to the device WILD-CNKW (16:34:13-418)
[07:19.587] himax | Wakeup_event = 0x0000, WakeupEvt1 = 0x0001 WAKE signal
[07:19.903] himax | DEBUG: ledFlashSelectLED(1)
[07:20.170] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Wake
[07:20.210] nrf   | <info> app: AI processor replies: 'Set OpParam 13 = 0'
[07:20.210] nrf   | BLE out: Sent  19 bytes: 'Set OpParam 13 = 0'
[07:20.210] himax | Set OpParam 13 = 0
[07:20.210] himax | Sending 24 bytes: Header 4, payload 18, checksum 2 'Set OpParam 13 = 0'
[07:20.210] himax | 000: 80 04 12 00 53 65 74 20  4f 70 50 61 72 61 6d 20 ....Set OpParam 
[07:20.390] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Set OpParam 13 = 0
[07:23.282] himax | Inactive for 3000ms
[07:23.282] himax |  No LED flashes.
[07:23.282] himax | >>> Entering DPD at 2024:01:01 02:06:44
[07:23.288] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Sleep
[07:23.288] app   | [BleSession] SLEEP signal detected  proceeding.
[07:23.389] app   | [useCapturePreview] startCapture called (count=1, interval=500)
[07:23.389] app   | [useCapturePreview] Phase 1: Setup  checking device state
[07:23.389] app   | Written AI getop -1 to the device WILD-CNKW (16:34:17-509)
[07:23.587] himax | Wakeup_event = 0x0000, WakeupEvt1 = 0x0001 WAKE signal
[07:24.066] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Wake
[07:24.425] app   | [useCapturePreview] Phase 1 complete  waiting for device to sleep
[07:27.303] himax | Inactive for 3000ms
[07:27.303] himax |  No LED flashes.
[07:27.303] himax | >>> Entering DPD at 2024:01:01 02:06:48
[07:27.381] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Sleep
[07:27.381] app   | [BleSession] SLEEP signal detected  proceeding.
[07:27.488] app   | [useCapturePreview] Phase 2: Capture  sending AI capture 1 500
[07:27.488] app   | Written AI capture 1 500 to the device WILD-CNKW (16:34:21-608)
[07:27.923] himax | Wakeup_event = 0x0000, WakeupEvt1 = 0x0001 WAKE signal
[07:28.163] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Wake
[07:28.186] himax | Image capture 1/1 took 54ms
[07:28.340] himax | Sending 68 bytes: Header 4, payload 62, checksum 2 'Captured 1 images. Last is 5921E390.JPG (File write 44ms avg.)'
