# Capture Picture flow, flash selection check: app dev after #263 (branch feat/light-sensor-readings b9f2ba56), firmware ae_review ee65771f
# Started 2026-09-03 12:21:41. Times are MM:SS.mmm from the start of the capture.
# himax = COM6 @ 921600 (known adapter FTFAERNNA)
# nrf   = COM5 @ 115200 (known adapter FTH0BZPJA)
#
# Filtered to the lines that carry the story: app writes and receipts, nRF relay, Himax capture, flash, light, sleep and transfer markers. Hex dumps and per-packet chatter removed.
[05:09.412] himax | DEBUG: ledFlashSelectLED(0)
[05:09.412] nrf   | BLE in: Received   8 bytes 'AI slots'
[05:09.412] nrf   | <info> app: AI processor is in DPD. Waking it. (slots)
[05:09.439] app   | Written AI slots to the device WILD-CNKW (12:26:51-228)
[05:09.713] himax | HM0360 initialisation failed 4
[05:09.713] himax | CIS Init fail
[05:09.713] himax |   Flash LED(s) in use: 1
[05:09.713] himax | MKL62BA command received: 'selftest'
[05:09.713] himax | selfTest 0300
[05:09.713] himax | Sending 19 bytes: Header 4, payload 13, checksum 2 'selfTest 0300'
[05:09.713] himax | 000: 80 04 0d 00 73 65 6c 66  54 65 73 74 20 30 33 30 ....selfTest 030
[05:10.028] nrf   | BLE out: Sent   5 bytes: 'Wake'
[05:10.028] nrf   | BLE out: Sent 117 bytes: 'Active slot 0 running 'HM0360 (night/IR)'. Slot A: 'HM0360 (night/IR)', Slot B: 'RP3 (day/colour)'. Auto-switch: off'
[05:10.028] himax | MKL62BA command received: 'slots'
[05:10.038] app   | Written AI getop -1 to the device WILD-CNKW (12:26:51-828)
[05:10.301] app   | Written AI getop -1 to the device WILD-CNKW (12:26:52-092)
[05:10.342] himax | MKL62BA command received: 'getop -1'
[05:10.342] himax | MKL62BA command received: 'getop -1'
[05:10.342] nrf   | BLE in: Received  11 bytes 'AI getop -1'
[05:10.642] nrf   | BLE in: Received  11 bytes 'AI getop -1'
[05:10.642] nrf   | BLE in: Received   8 bytes 'selftest'
[05:10.733] app   | Written AI getop -1 to the device WILD-CNKW (12:26:52-524)
[05:10.958] nrf   | BLE in: Received  11 bytes 'AI getop -1'
[05:10.958] himax | MKL62BA command received: 'getop -1'
[05:14.024] himax | Inactive for 3000ms
[05:14.024] himax | Sending 100 bytes: Header 4, payload 94, checksum 2 'Sleep 298 ... op8=3000 ... op24=15 op25=0 ...
[05:14.024] himax | >>> Entering DPD at 2024:01:01 00:00:08
[05:14.024] nrf   | BLE out: Sent   6 bytes: 'Sleep'
[05:29.014] nrf   | BLE in: Received   8 bytes 'selftest'
[05:53.305] nrf   | BLE in: Received   8 bytes 'selftest'
[06:02.514] app   | Written AI ver to the device WILD-CNKW (12:27:44-306)
[06:02.784] himax | DEBUG: ledFlashSelectLED(0)
[06:02.784] nrf   | BLE in: Received   6 bytes 'AI ver'
[06:02.784] nrf   | <info> app: AI processor is in DPD. Waking it. (ver)
[06:03.078] himax | DEBUG: ledFlashBrightness(95%) [brbits = 0xe]
[06:03.078] himax | DEBUG: ledFlashSelectLED(1)
[06:03.078] himax | [LS] In ledFlashSetFlashModeFromOpParam with 1 Mode 1
[06:03.078] himax |   Flash LED(s) in use: 1
[06:03.078] himax | MKL62BA command received: 'selftest'
[06:03.078] himax | selfTest 0000
[06:03.078] himax | Sending 19 bytes: Header 4, payload 13, checksum 2 'selfTest 0000'
[06:03.078] himax | 000: 80 04 0d 00 73 65 6c 66  54 65 73 74 20 30 30 30 ....selfTest 000
[06:03.078] himax | MKL62BA command received: 'ver'
[06:03.385] nrf   | BLE out: Sent   5 bytes: 'Wake'
[06:06.167] himax | Inactive for 3000ms
[06:06.468] nrf   | BLE out: Sent   6 bytes: 'Sleep'
[06:06.468] himax | Sending 100 bytes: Header 4, payload 94, checksum 2 'Sleep 298 ... op8=3000 ... op24=15 op25=0 ...
[06:06.468] himax |  No LED flashes.
[06:06.468] himax | >>> Entering DPD at 2024:01:01 00:00:11
[06:10.903] app   | Written AI slots to the device WILD-CNKW (12:27:52-696)
[06:11.068] himax | DEBUG: ledFlashSelectLED(0)
[06:11.068] nrf   | BLE in: Received   8 bytes 'AI slots'
[06:11.068] nrf   | <info> app: AI processor is in DPD. Waking it. (slots)
[06:11.383] himax | DEBUG: ledFlashBrightness(95%) [brbits = 0xe]
[06:11.383] himax | DEBUG: ledFlashSelectLED(1)
[06:11.383] himax | [LS] In ledFlashSetFlashModeFromOpParam with 1 Mode 1
[06:11.383] himax |   Flash LED(s) in use: 1
[06:11.383] himax | MKL62BA command received: 'selftest'
[06:11.383] himax | selfTest 0000
[06:11.383] himax | Sending 19 bytes: Header 4, payload 13, checksum 2 'selfTest 0000'
[06:11.383] himax | 000: 80 04 0d 00 73 65 6c 66  54 65 73 74 20 30 30 30 ....selfTest 000
[06:11.698] nrf   | BLE out: Sent   5 bytes: 'Wake'
