# Capture Picture retest on the transport fix (18:32): three rounds of leave, re-enter, capture; Back pressed mid-run in round three. Then (18:54) the same on the fix for that: Back mid-run, re-enter, camera switch. App feat/capture-keep-awake (uncommitted) on firmware ae_review e8b7feb5
# Started 2026-09-03 18:27:23. Times are MM:SS.mmm from the start of the capture.
# himax = COM6 @ 921600 (known adapter FTFAERNNA)
# nrf   = COM5 @ 115200 (known adapter FTH0BZPJA)
#
# Filtered to app writes and hook logs (minus hex dumps, heartbeats and the empty self-test lines), the device's Sleep/Wake/Captured/Finished/slot replies, and, on the nRF and Himax, the command arrivals, the packet numbers around each restart, the sleep entries, the state changes of the image task and the resets.
[05:04.357] app   | Extracting services and characteristics.
[05:04.357] app   | Available services: ["1800","1801","6e400001-b5a3-f393-e0a9-e50e24dcca9e"]
[05:04.392] app   | Notifications started for 6e400003-b5a3-f393-e0a9-e50e24dcca9e
[05:04.402] app   | Connection priority: High
[05:04.402] app   | MTU negotiated to 512 bytes
[05:04.402] app   | Device WILD-CNKW connected
[05:04.504] app   | [EngineerConnect] Connected, navigating to EngineerConsoleScreen
[05:23.045] app   | Written AI slots to the device WILD-CNKW (18:32:47-328)
[05:23.091] nrf   | BLE in: Received   8 bytes 'AI slots'
[05:23.091] nrf   | <info> app: AI state machine bumped with 'Msg to AI' (Current state: SLEEP)
[05:23.392] himax | Inactivity period set at 1000ms
[05:23.635] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Wake
[05:23.707] himax | MKL62BA command received: 'selftest'
[05:23.925] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Active slot 1 running 'RP3 (day/colour)'. Slot A: 'HM0360 (night/IR)', Slot B: 'RP3 (day/colour)'. Auto-switch: off
[05:24.009] nrf   | <info> app: AI state machine bumped with 'Msg to AI' (Current state: IDLE)
[05:24.009] himax | MKL62BA command received: 'slots'
[05:24.018] app   | Written AI getop -1 to the device WILD-CNKW (18:32:48-297)
