# Verification of ww-mobile-app #282 and #283 on the bench, 5 September 2026
#
# Device WILD-CNKW, firmware ae_review_to_merge 931ef923, app 0.0.65.
# Three-way log: app = adb logcat ReactNativeJS, nrf = MKL62BA console, himax = HX6538 console.
# Two excerpts from bench/2026-09-05_flash/flash_bench2.txt, times MM:SS.mmm from the start of that capture.
#
# Excerpt 1: Capture Picture holds op34 and the LED fires (#283).
# Excerpt 2: the deployment writes the project's flash after the reset (#282).

=== Excerpt 1: Capture Picture, White LED, lit room ===
[03:31.004] app   | Written AI setop 8 1000 to the device WILD-CNKW (02:19:34-561)
[03:31.233] nrf   | BLE in: Received  15 bytes 'AI setop 8 1000'
[03:31.233] nrf   | <info> app: AI state machine bumped with 'Msg to AI' (Current state: SLEEP)
[03:31.233] nrf   | <info> app: AI processor is in DPD. Waking it. (setop 8 1000)
[03:31.390] himax | 1st BL Modem Build DATE=Jan 17 2025, Version: 2.12
[03:31.390] himax | slot flash_offset 0x00100000
[03:31.390] himax | New MemDesp himax_sec_SB_image_process PASS
[03:31.390] himax | set_memory_s_ns
[03:31.390] himax | HX_DSP_FLAG 1
[03:31.390] himax | jump_addr=0x10000000
[03:31.390] himax | Compiler Version: ARM GNU, 14.3.1 20250623
[03:31.390] himax | **** WW500 MD. (WW500_C02) Built: 13:51:51 Sep  4 2026 ****
[03:31.390] himax | Git branch: 'ae_review_to_merge' 931ef923
[03:31.390] himax | Compiler Version: ARM GNU, 14.3.1 20250623
[03:31.390] himax | Wakeup_event = 0x0000, WakeupEvt1 = 0x0001 WAKE signal
[03:31.390] himax | Camera: RP v3 (IMX708)
[03:31.390] himax | Enabling RP SENSOR_ENABLE
[03:31.390] himax | PCA9574 present at 0x20
[03:31.390] himax | DEBUG: ledFlashSelectLED(0)
[03:31.390] himax | Initialised LED Flash
[03:31.390] himax | HM0360 present at 0x24
[03:31.390] himax | Main camera present at 0x1a
[03:31.390] himax | Disabling RP SENSOR_ENABLE
[03:31.390] himax | ### Warm Boot ###
[03:31.390] himax | Woke at 2024:01:01 00:00:04 
[03:31.390] himax | BLE wake
[03:31.390] himax | Initialising FreeRTOS tasks
[03:31.390] himax | Created task 'CLI' Priority 4
[03:31.390] himax | Created task 'IFTask' Priority 3
[03:31.390] himax | Created task 'FAT' Priority 2
[03:31.390] himax | Created task 'IMAGE' Priority 1
[03:31.390] himax | FreeRTOS scheduler started.
[03:31.390] himax | Starting CLI Task
[03:31.390] himax | Enter 'help' to view a list of available commands.
[03:31.390] himax | cmd> Starting IFTask
[03:31.390] himax | I2C slave instance 0 configured at address 0x62
[03:31.390] himax | I2C buffers have 256 bytes, payload is 244
[03:31.390] himax | Starting FatFS Task
[03:31.702] himax | Mounting FatFS on SD card OK
[03:31.702] himax | Directory '/MANIFEST' exists
[03:31.702] himax | SD card initialised. CWD is '0:/'
[03:31.702] himax | Loading configuration: CWD is '0:/MANIFEST'
[03:31.702] himax | 'CONFIG.TXT' found. (Next image #0), camera enabled. Flash brightness 5
[03:31.702] himax | Retaining existing images directory (0 <= 100) '/MEDIA/00000000/IMAGES.000'
[03:31.702] himax | Directory '/MEDIA/00000000/IMAGES.000' exists
[03:31.702] himax | FatFs setup took 247ms
[03:31.702] himax | Inactivity period set at 3000ms
[03:31.702] himax | IF Task received event 'Awake' (0x070f). Rx data = 0x00000000
[03:31.702] himax | Starting Image Task
[03:31.702] himax | Image 2304 x 1296. Raw buffer 460800. JPEG buffer 115860. JPEG compression x4
[03:31.702] himax | Enabling RP SENSOR_ENABLE
[03:31.702] himax | Initialising IMX708 at 0x1a (p.u. delay 100ms)
[03:31.702] himax | Memory allocated: 460800 for raw buffer, 115860 for JPEG, 100 for JPEG header
[03:31.702] himax | mclk DIV3, xshutdown_pin=82
[03:32.016] himax | IMX708 Init by app (IMX708_common_setting)
[03:32.016] himax | Get IMX708_REG_BASE_SPC_GAINS_L = 0x40
[03:32.016] himax | Init IMX708 Default PDAF pixel correction gains 
[03:32.016] himax | IMX708 Init by app (IMX708_2304x1296_setting)
[03:32.016] himax | IMX708 EXPOSURE(0x0940) by app (IMX708_exposure_setting)
[03:32.016] himax | IMX708 Init by app (IMX708_link_450Mhz_regs)
[03:32.016] himax | Quad Bayer re-mosaic adjustments ON
[03:32.016] himax | IMX708 Init by app (IMX708_mirror_setting)
[03:32.016] himax | CWD is '0:/MANIFEST'
[03:32.016] himax | Error opening '0:/RPV3_EX.BIN': 4
[03:32.016] himax | WD1[340a6ba0], WD2_J[340a6ba0], WD3_RAW[340363a0], JPAuto[34036320]
[03:32.016] himax | MIPI CLK change to PLL freq:(400000000 / 2)
[03:32.016] himax | MIPI TX CLK: 200M
[03:32.016] himax | t_input: 12943ns
[03:32.016] himax | t_output: 11520ns
[03:32.016] himax | t_preload: 185ns
[03:32.016] himax | MIPI RX FIFO FILL: 70
[03:32.016] himax | MIPI TX FIFO FILL: 0
[03:32.016] himax | RESET MIPI CSI RX/TX
[03:32.016] himax | sensor_type: 15
[03:32.016] himax | DEBUG: ledFlashBrightness(5%) [brbits = 0x0]
[03:32.016] himax | DEBUG: ledFlashSelectLED(1)
[03:32.016] himax | [LS] In ledFlashSetFlashModeFromOpParam with 1 Mode 2
[03:32.016] himax | DEBUG: ledFlashDisable()
[03:32.016] himax | Not initialising NN (project ID is 0)
[03:32.016] himax | No model found.
[03:32.016] himax | NN Initialisation took 9ms TODO - consider doing this after taking the picture!
[03:32.016] himax | Image sensor and data path initialised for camera RP v3
[03:32.016] himax |   Camera system enabled.
[03:32.016] himax |   Neural network disabled.
[03:32.016] himax |   Flash LED(s) in use: 1
[03:32.016] himax |   Flash brightness: 5%
[03:32.016] himax |   Flash is currently armed.
[03:32.016] himax |   Flash duration 100ms
[03:32.016] himax |   MD disabled.
[03:32.016] himax |   Timelapse disabled.
[03:32.016] himax | IF Task received event 'FreeRTOS Initialised' (0x0710). Rx data = 0x00000000
[03:32.016] himax | Assert inter-processor interrupt.
[03:32.016] himax | Negate inter-processor interrupt.
[03:32.016] himax | IF Task state changed from 'Idle' (1) to 'I2C TX State' (3)
[03:32.016] himax | IF Task received event 'I2C Tx' (0x0701). Rx data = 0x00000000
[03:32.016] himax | I2C transmission complete.
[03:32.016] himax | IF Task state changed from 'I2C TX State' (3) to 'Idle' (1)
[03:32.016] himax | IF Task received event 'I2C Rx' (0x0700). Rx data = 0x00000000
[03:32.016] himax | Received I2C message.
[03:32.016] himax | MKL62BA command received: 'selftest'
[03:32.016] himax | selfTest 0000
[03:32.016] himax | IF Task state changed from 'Idle' (1) to 'I2C RX State' (2)
[03:32.016] himax | IF Task received event 'String Response' (0x0703). Rx data = 0x3000eab0
