# Motion detection test timing, WILD-SIFK, dev build with Metro, re-measure of ww-mobile-app #273 after #326
# Started 2026-09-23 09:53:19. Times are MM:SS.mmm from the start of the capture.
# himax = COM6 @ 921600 (given)
# nrf   = COM5 @ 115200 (given)
#
[01:58.249] nrf   | <info> app: Conn params applied: interval 156 units (195ms), timeout 4000ms
[02:00.098] app   | TX Hex: 4149206765746f70202d31
[02:00.098] app   | [BLE Heartbeat] ✓ Active for WILD-SIFK
[02:00.274] app   | Written AI getop -1 to the device WILD-SIFK (09:55:21-103)
[02:00.397] nrf   | BLE in: Received  11 bytes 'AI getop -1'
[02:00.397] nrf   | <info> app: AI processor is in DPD. Waking it. (getop -1)
[02:00.397] himax | 1st BL Modem Build DATE=Jan 17 2025, Version: 2.12
[02:00.397] himax | Compiler Version: ARM GNU, 14.3.1 20250623
[02:00.397] himax | **** WW500 MD. (WW500_C02) Built: 05:31:27 Sep 15 2026 ****
[02:00.397] himax | Git branch: 'dev' bcb45deb
[02:00.397] himax | Compiler Version: ARM GNU, 14.3.1 20250623
[02:00.397] himax | Wakeup_event = 0x0000, WakeupEvt1 = 0x0001 WAKE signal
[02:00.397] himax | Camera: HM0360
[02:00.397] himax | PCA9574 present at 0x20
[02:00.397] himax | Initialised LED Flash
[02:00.397] himax | HM0360 present at 0x24
[02:00.397] himax | Main camera present at 0x24
[02:00.397] himax | ### Warm Boot ###
[02:00.397] himax | Woke at 2024:01:01 00:00:03 
[02:00.397] himax | BLE wake
[02:00.397] himax | Initialising FreeRTOS tasks
[02:00.397] himax | Created task 'CLI' Priority 4
[02:00.397] himax | Created task 'IFTask' Priority 3
[02:00.397] himax | Created task 'FAT' Priority 2
[02:00.397] himax | Created task 'IMAGE' Priority 1
[02:00.397] himax | FreeRTOS scheduler started.
[02:00.397] himax | Starting CLI Task
[02:00.397] himax | Enter 'help' to view a list of available commands.
[02:00.397] himax | cmd> Starting IFTask
[02:00.397] himax | I2C slave instance 0 configured at address 0x62
[02:00.397] himax | I2C buffers have 256 bytes, payload is 244
[02:00.397] himax | Starting FatFS Task
[02:00.699] himax | Mounting FatFS on SD card OK
[02:00.699] himax | Directory '/MANIFEST' exists
[02:00.699] himax | SD card initialised. CWD is '0:/'
[02:00.699] himax | Loading configuration: CWD is '0:/MANIFEST'
[02:00.699] himax | 'CONFIG.TXT' found. (Next image #184), camera enabled. Flash brightness 50
[02:00.699] himax | Retaining existing images directory (9 <= 100) '/MEDIA/859b722a/IMAGES.000'
[02:00.699] himax | Directory '/MEDIA/859b722a/IMAGES.000' exists
[02:00.699] himax | FatFs setup took 208ms
[02:00.699] himax | Inactivity period set at 1000ms
[02:00.699] himax | Starting Image Task
[02:00.699] himax | Image 640 x 480. Raw buffer 460800. JPEG buffer 115860. JPEG compression x4
[02:00.699] himax | Initialising HM0360 at 0x24 (p.u. delay 1ms)
[02:00.699] himax | Memory allocated: 460800 for raw buffer, 115860 for JPEG, 100 for JPEG header
[02:00.699] himax |    Inhibiting MD
[02:00.699] himax |    Changing mode from 2 to 0 with nFrames=0, sleepTime=0 sleepCount = 0xffff
[02:00.699] himax | HM0360 MD sensitivity 1
[02:00.699] himax | [LS] In ledFlashSetFlashModeFromOpParam with 2 Mode 2
[02:00.699] himax | Initialising NN with 2412/ETHOS-U 2411 library. Arena size 524288
[02:00.699] himax | Ethos-U55 device initialised
[02:00.699] himax | Looking for model '1V1.TFL' in flash or SD card
[02:00.699] himax | Flash ID 0xEF initialised
[02:00.699] himax | Model file name in flash is '1V1.TFL'
[02:00.699] himax | Flash already contains model '1V1.TFL'; loading from flash.
[02:00.699] himax | There are 2 classes (2)
[02:00.699] himax | Initialised neural network.
[02:00.699] himax | Image sensor and data path initialised for camera HM0360
[02:00.699] himax |   Camera system enabled.
[02:00.699] himax |   Neural network enabled.
[02:00.699] himax |   Flash LED(s) in use: 2
[02:00.699] himax |   Flash brightness: 50%
[02:00.699] himax |   Flash is currently armed.
[02:00.699] himax |   MD disabled.
[02:00.699] himax |   Timelapse disabled.
[02:00.699] himax | Sending 31 bytes: Header 4, payload 25, checksum 2 'Wake 2024-01-01T00:00:04Z'
[02:00.717] app   | [useBleListeners] RAW_RX received for F5:3F:88:C6:81:06: Wake
[02:00.897] app   | [useBleListeners] RAW_RX received for F5:3F:88:C6:81:06: Error bits = 0x0000
[02:01.001] himax | Received I2C message.
[02:01.001] himax | MKL62BA command received: 'selftest'
[02:01.001] himax | selfTest 0000
[02:01.001] himax | Sending 19 bytes: Header 4, payload 13, checksum 2 'selfTest 0000'
[02:01.001] himax | Received I2C message.
[02:01.001] himax | MKL62BA command received: 'getop -1'
[02:01.001] himax | OpParams 184 61 33 17 336 3 500 0 1000 50 1 0 100 2 1 1 18 1 0 9 0 2 50 65 0 0 0 286 326 1 110 1 0 0 2 0 0 
[02:01.001] himax | Sending 113 bytes: Header 4, payload 107, checksum 2 'OpParams 184 61 33 17 336 3 500 0 1000 50 1 0 100 2 1 1 18 1 0 9 0 2 50 65 0 0 0 286 326 1 110 1 0 0 2 0 0 '
[02:01.001] nrf   | <info> app: I2C RX payload 25/250 bytes. Response type is 4. CRC OK (0x15F7)
[02:01.001] nrf   | <info> app: BLE and AI time differ by 550s - too much!
[02:01.001] nrf   | <info> app: AI state changed from SLEEP to WOKEN
[02:01.001] nrf   | BLE out: Sent   5 bytes: 'Wake'
[02:01.001] nrf   | <info> app: AI State machine scheduler called with event 8 'Send SelfTest'
[02:01.001] nrf   | Sending 'selftest' to AI processor (4 ctrl bytes, 8 payload, 2 CRC)<info> app: OK
[02:01.001] nrf   | <info> app: AI state changed from WOKEN to SELFTEST
[02:01.001] nrf   | <info> app: I2C RX payload 13/250 bytes. Response type is 4. CRC OK (0x7FB8)
[02:01.001] nrf   | <info> app: AI self test bits = 0x0000 (all bits now 0x0000)
[02:01.001] nrf   | <info> app: Can't send UTC
[02:01.001] nrf   | <info> app: AI state changed from SELFTEST to IDLE
